frame,x,y,timestamp
1,166.505,124.416,0.0166667
2,167.26,124.939,0.0333333
3,172.989,114.547,0.05
4,177.887,109.534,0.0666667
5,182.659,103.765,0.0833333
6,186.133,98.4607,0.1
7,191.188,93.5215,0.116667
8,196.01,87.453,0.133333
9,202.647,77.3235,0.15
10,208.199,76.1071,0.166667
11,204.563,80.9713,0.183333
12,211.346,71.761,0.2
13,219.929,62.9886,0.216667
14,220.514,62.9542,0.233333
15,219.543,62.0571,0.25
16,228.875,56.7354,0.266667
17,237.748,47.0315,0.283333
19,240.389,44.6396,0.316667
21,252.467,36.7111,0.35
22,252.553,36.8289,0.366667
23,257.791,33.8259,0.383333
24,258,36,0.4
25,266.638,29.0685,0.416667
26,265,27,0.433333
27,270.529,29.1207,0.45
28,273.979,25.7251,0.466667
29,278.424,24.9242,0.483333
31,283.912,19.5918,0.516667
32,298.739,14.1304,0.533333
33,303.957,14.052,0.55
34,298.416,17.6057,0.566667
35,311.967,12.92,0.583333
36,316.5,8.5,0.6
37,319.685,15.5185,0.616667
40,325.218,9.29474,0.666667
41,336,10,0.683333
43,337.841,9.32822,0.716667
44,337,9,0.733333
45,342.178,8.16667,0.75
46,345,12,0.766667
47,360.617,15.9694,0.783333
49,357.404,10.7729,0.816667
50,361.543,12.9429,0.833333
51,376.03,20.146,0.85
53,378.387,19.9467,0.883333
54,378.053,21.754,0.9
55,389.988,27.1957,0.916667
56,386.056,21.375,0.933333
57,388.761,26.8614,0.95
58,394.557,23.7216,0.966667
59,406.688,34.6875,0.983333
60,406.572,33.788,1
61,414.268,39.9657,1.01667
62,420.253,38,1.03333
63,421.931,44.1433,1.05
64,422.503,44.1273,1.06667
65,422.255,44.3404,1.08333
66,425.619,47.7749,1.1
67,434.879,59.3136,1.11667
68,436.441,58.5226,1.13333
69,436.813,58.1754,1.15
70,442.483,61.0294,1.16667
71,450.5,69.5,1.18333
72,455.988,79.1957,1.2
73,457.644,77.9338,1.21667
74,457.74,76.993,1.23333
75,465.38,85.9967,1.25
76,471.915,95.5847,1.26667
77,472.63,95.6678,1.28333
78,476.985,101.239,1.3
79,480.888,106.477,1.31667
80,484.452,112.389,1.33333
81,492.745,120.66,1.35
82,492.261,121.675,1.36667
83,499.556,132.053,1.38333
84,500.225,132.781,1.4
85,504.081,138.86,1.41667
86,509.74,150.939,1.43333
87,511.454,151.321,1.45
88,514.6,152.504,1.46667
89,518.556,164.465,1.48333
90,522.107,171.028,1.5
91,523.496,171.268,1.51667
92,529.168,183.131,1.53333
93,534.891,189.346,1.55
94,538.966,197.321,1.56667
95,543.363,210.561,1.58333
96,545.837,211.769,1.6
97,549.229,218.533,1.61667
98,553.407,226.198,1.63333
99,557.923,233.904,1.65
100,561.588,241.621,1.66667
101,565.081,250.238,1.68333
102,568.475,258.455,1.7
103,572.087,266.73,1.71667
104,576.222,274.629,1.73333
105,580.011,282.332,1.75
106,583.572,291.184,1.76667
107,586.5,301,1.78333
108,590.511,310.046,1.8
109,594.974,318.5,1.81667
110,597.979,327.772,1.83333
111,600.966,337.321,1.85
112,605.5,346.5,1.86667
113,609.5,356,1.88333
114,613.546,364.94,1.9
115,617.437,374.962,1.91667
116,621,385.5,1.93333
117,624.473,395.046,1.95
118,628.026,404.5,1.96667
119,631.992,414.452,1.98333
120,636.041,425.138,2
121,640.129,435.564,2.01667
122,642.51,446.359,2.03333
123,645.5,457.5,2.05
124,649.992,467.862,2.06667
125,653.498,477.861,2.08333
126,657.596,489.775,2.1
127,662.104,501.393,2.11667
128,666.108,512.773,2.13333
129,670.179,524.588,2.15
130,673.076,535.547,2.16667
131,676.109,546.862,2.18333
132,679.496,559.664,2.2
133,682.77,571.286,2.21667
134,686.943,583.707,2.23333
135,690.459,595.405,2.25
136,693.456,607.88,2.26667
137,697.496,621.785,2.28333
138,701.525,634.468,2.3
139,704.583,646.218,2.31667
140,708.147,658.5,2.33333
141,712.073,671.725,2.35
142,716.22,685.133,2.36667
143,720.5,697.604,2.38333
144,722.991,704.869,2.4
